,자치구별(1),자치구별(2),항목,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
0,자치구별(1),자치구별(2),발생건수 (건),음주운전,스쿨존사고,무면허,음주운전,스쿨존사고,무면허,음주운전,스쿨존사고,무면허,음주운전,스쿨존사고,무면허,음주운전,스쿨존사고,무면허
1,합계,종로구,발생건수 (건),70,3,14,63,6,7,48,0,15,47,1,8,45,1,9
2,합계,중구,발생건수 (건),39,1,10,70,0,12,30,0,16,49,2,15,43,1,13
3,합계,용산구,발생건수 (건),106,0,22,100,0,18,73,2,24,65,2,15,72,0,11
4,합계,성동구,발생건수 (건),79,1,14,85,2,12,61,1,13,80,1,17,87,3,12
5,합계,광진구,발생건수 (건),77,4,27,107,2,13,62,6,16,83,4,21,72,4,22
6,합계,동대문구,발생건수 (건),94,2,19,97,0,24,63,3,6,76,4,30,42,2,22
7,합계,중랑구,발생건수 (건),80,1,11,82,6,15,74,3,19,67,1,24,65,4,20
8,합계,성북구,발생건수 (건),82,4,14,86,3,16,62,8,22,54,2,14,55,4,11
9,합계,강북구,발생건수 (건),85,0,27,77,0,26,60,5,14,44,1,10,54,3,14
10,합계,도봉구,발생건수 (건),71,5,22,44,5,10,35,8,11,39,2,8,37,2,7
11,합계,노원구,발생건수 (건),114,2,19,110,2,16,93,6,19,86,1,23,76,3,21
12,합계,은평구,발생건수 (건),69,5,15,79,5,14,77,6,16,72,1,19,53,4,13
13,합계,서대문구,발생건수 (건),52,2,9,58,0,14,35,0,17,44,2,15,44,2,10
14,합계,마포구,발생건수 (건),184,1,40,159,2,30,118,2,34,88,2,28,100,1,22
15,합계,양천구,발생건수 (건),96,5,18,91,3,17,64,8,19,79,4,12,76,5,15
16,합계,강서구,발생건수 (건),122,4,22,137,6,20,110,16,30,120,5,21,119,5,17
17,합계,구로구,발생건수 (건),119,10,35,119,9,27,103,13,19,119,4,37,102,4,21
18,합계,금천구,발생건수 (건),68,0,21,93,1,13,76,1,24,90,1,15,66,1,15
19,합계,영등포구,발생건수 (건),179,4,22,172,5,27,114,2,19,129,4,28,115,4,30
20,합계,동작구,발생건수 (건),101,4,18,79,4,21,67,4,25,86,2,30,54,1,10
21,합계,관악구,발생건수 (건),89,2,19,104,3,12,95,3,21,91,2,31,73,3,24
22,합계,서초구,발생건수 (건),182,1,34,173,6,43,152,3,28,165,3,25,123,2,23
23,합계,강남구,발생건수 (건),403,9,57,373,5,54,293,6,66,343,6,71,281,3,50
24,합계,송파구,발생건수 (건),207,3,33,199,1,34,161,4,41,148,1,31,139,5,30
25,합계,강동구,발생건수 (건),96,8,12,99,1,22,64,4,23,63,7,23,66,1,21
